Time,daily_uniq_holders
2023-12-04,3405
2023-12-03,3405
2023-12-02,3387
2023-12-01,3395
2023-11-30,3382
2023-11-29,3387
2023-11-28,3389
2023-11-27,3384
2023-11-26,3379
2023-11-25,3372
2023-11-24,3371
2023-11-23,3377
2023-11-22,3378
2023-11-21,3372
2023-11-20,3377
2023-11-19,3385
2023-11-18,3383
2023-11-17,3389
2023-11-16,3387
2023-11-15,3409
2023-11-14,3399
2023-11-13,3409
2023-11-12,3412
2023-11-11,3424
2023-11-10,3431
2023-11-09,3447
2023-11-08,3451
2023-11-07,3429
2023-11-06,3411
2023-11-05,3423
